,county,median
342,carbon,390644
343,henrico,389455
344,warren,388763
345,kodiak island borough,387971
346,strafford,387821
347,new london,387105
348,blanco,387099
349,manassas park city,386700
350,santa rosa,386391
351,sherburne,386353
352,ulster,385316
353,livingston,384977
354,middlesex,384886
355,litchfield,382412
356,grand traverse,381354
357,lincoln,381158
358,walton,380729
359,berkeley,380206
360,robertson,379348
361,park,378909
362,ellis,378847
363,clay,378815
364,dorchester,378667
365,wallowa,378238
366,sheridan,377866
367,broadwater,377289
368,baltimore,377185
369,carteret,377132
370,lancaster,377064
371,lincoln,377015
372,suffolk city,376802
373,columbia,375023
374,sanders,374165
375,juab,373532
376,bedford,373385
377,platte,373323
378,kings,372628
379,montgomery,372619
380,sussex,371796
381,boundary,371479
382,knox,370866
383,latah,370346
384,carroll,370326
385,lincoln,370043
386,dawson,369074
387,madison,369071
388,oakland,368741
389,addison,368644
390,isle of wight,368448
391,warren,366996
392,st. croix,366851
393,washington,365901
394,tarrant,365628
395,northumberland,365230
396,wright,364354
397,benton,363855
398,new haven,362561
399,kaufman,362085
400,rockingham,362081
401,mariposa,361589
402,hamilton,361252
403,kern,361090
404,shelby,360511
405,delta,360216
406,madison,360190
407,lake,360137
408,walla walla,360131
409,cecil,359901
410,grafton,359842
411,brazos,359841
412,paulding,359778
413,lake,359626
414,pima,359576
415,trinity,359438
416,colusa,359080
417,new castle,357896
418,iredell,357634
419,grant,356755
420,johnson,356386
421,tulare,356334
422,lincoln,356085
423,montrose,355519
424,volusia,355212
425,jefferson,354747
426,pennington,354603
427,dallas,354472
428,transylvania,354331
429,beaverhead,353575
430,watauga,353340
431,mathews,353236
432,custer,352965
433,lake,352701
434,custer,352566
435,matanuska-susitna borough,352449
436,granite,352439
437,wayne,352331
438,grays harbor,352080
439,duval,351879
440,anoka,351868
441,orange,351789
442,tolland,351693
443,saratoga,351689
444,mckenzie,351349
445,washington,351065
446,lake,350835
447,laramie,349936
448,greenville,349368
449,atlantic,348893
450,winchester city,348466
451,box elder,348436
452,bannock,348302
453,inyo,348206
454,johnston,348200
455,worcester,348151
456,bryan,347354
457,blount,347172
458,greene,346864
459,ramsey,346755
460,henry,346735
461,adams,346695
462,glynn,346468
463,cook,346253
464,madison,346238
465,sweet grass,345765
466,hendricks,345691
467,augusta,345586
468,belknap,345274
469,iron,345098
470,columbia,344700
471,currituck,344633
472,rice,344424
473,boise,344232
474,loudon,343993
475,burlington,343863
476,galveston,343078
477,st. charles,342995
478,middlesex,342743
479,geauga,342616
480,pasco,342163
481,dallas,340417
482,pend oreille,340131
483,olmsted,339494
484,baldwin,338870
485,alachua,338834
486,pueblo,338084
487,kent,338020
488,kane,337802
489,chatham,337096
490,douglas,337023
491,taos,336751
492,wasco,336698
493,delaware,336434
494,towns,336210
495,richland,336109
496,sevier,335988
497,hartford,335408
498,wise,335375
499,bay,335333
500,douglas,335238
501,lancaster,335223
502,kane,335222
503,burleigh,334238
504,centre,334174
505,bernalillo,334100
506,horry,333822
507,crook,333795
508,leon,333568
509,cheshire,333566
510,northampton,333170
511,johnson,333143
512,columbia,332988
513,cook,332845
514,kent,332814
515,llano,332724
516,orleans parish,332583
517,morgan,332475
518,sarpy,332108
519,mohave,332031
520,kendall,332007
521,bastrop,331171
522,madison,331094
523,sandoval,329914
524,montgomery,329533
525,clarke,329047
526,fairfield,329002
527,will,328747
528,greene,327888
529,hampden,327707
530,lawrence,327684
531,lehigh,327611
532,minnehaha,327314
533,washington,327075
534,montezuma,326798
535,klamath,326479
536,lamoille,325872
537,tehama,325861
538,jefferson,325682
539,lexington city,325037
540,storey,324295
541,franklin,324260
542,brazoria,324060
543,jefferson,324045
544,barrow,323980
545,kent,323256
546,roanoke,323253
547,hernando,322960
548,grayson,322941
549,polk,322892
550,lyon,322763
551,effingham,322706
552,guadalupe,322700
553,lincoln,322465
554,albany,322190
555,morgan,321833
556,imperial,321637
557,sagadahoc,321416
558,plumas,321320
559,washington,321315
560,jackson,320893
561,camden,320626
562,crow wing,320122
563,rockdale,319818
564,walworth,319668
565,haines borough,319630
566,leavenworth,319436
567,franklin,319424
568,mason,319232
569,catoosa,318826
570,umatilla,318782
571,douglas,318595
572,whitman,318313
573,montgomery,317892
574,yakima,317752
575,rich,316166
576,hancock,316107
577,coos,315995
578,cass,315809
579,fairbanks north star borough,315705
580,door,315112
581,gloucester,314972
582,louisa,314960
583,franklin,314958
584,jefferson,314201
585,moore,314076
586,glenn,313792
587,union,313729
588,warren,313359
589,custer,313271
590,chisago,312388
591,fayette,312290
592,norfolk city,312090
593,lancaster,311984
594,fayette,311621
595,washington,311569
596,desoto,311356
597,botetourt,311318
598,mchenry,311121
599,nelson,310933
600,kenai peninsula borough,310651
601,porter,310396
602,brown,310325
603,knox,310163
604,burnet,309787
605,st. tammany parish,309585
606,bartow,309550
607,asotin,309343
608,lemhi,308598
609,polk,308558
610,hancock,308252
611,beaver,308098
612,clay,307778
613,franklin,307738
614,medina,307691
615,sanpete,307681
616,putnam,307345
617,johnson,307302
618,pender,306856
619,christian,306811
620,monongalia,306747
621,chambers,306437
622,waller,306437
623,wilson,306016
624,warren,305776
625,stevens,305716
626,tompkins,305533
627,windham,305446
628,pickens,305388
629,lancaster,305231
630,albany,304837
631,natrona,304619
632,le sueur,304472
633,fluvanna,304431
634,prince george,304035
635,limestone,303944
636,cheatham,303786
637,butler,303358
638,somervell,303176
639,harrisonburg city,303110
640,windsor,302481
641,st. louis,302201
642,midland,302001
643,wahkiakum,301949
644,spencer,301911
645,gloucester,301865
646,idaho,301658
647,lincoln,301604
648,cass,301335
649,fannin,301067
650,mineral,301036
651,boone,300825
652,campbell,300415
653,johnson,300295
654,gilmer,299684
655,boone,299562
656,cumberland,299550
657,lumpkin,299545
658,jackson,299524
659,union,298577
660,nez perce,298280
661,harris,298270
662,caroline,298244
663,citrus,297714
664,douglas,297078
665,allegan,297067
666,windham,297001
667,camden,296501
668,adams,296401
669,converse,296243
670,hood,295890
671,gaston,295822
672,douglas,295810
673,clay,295418
674,rio blanco,295393
675,outagamie,294944
676,fremont,294860
677,cascade,294813
678,harris,294773
679,washington,294406
680,bradley,294393
681,carroll,293594
682,meade,293361
683,jerome,293303
684,escambia,293139
685,washington,292839
686,wicomico,292607
687,eau claire,292408
688,bexar,292377
689,clermont,292171
690,bennington,291922
691,fremont,291904
692,bristol bay borough,291820
693,forsyth,291678
694,bandera,291582
695,clay,290444
696,stearns,290440
697,kenosha,290355
698,holmes,290230
699,monroe,290107
700,woodford,290024
701,emmet,290010
702,miami,289513
703,shenandoah,288979
704,uintah,288903
705,sullivan,288342
706,elko,288055
707,pierce,287773
708,vilas,287259
709,alamance,287250
710,warren,286655
711,berks,286473
712,kerr,286445
713,phillips,286401
714,king william,286399
715,franklin,286319
716,fayette,285905
717,payette,285513
718,berkeley,285279
719,bell,285169
720,goodhue,285132
721,racine,284536
722,madison,284437
723,shelby,284421
724,union,284209
725,del norte,284038
726,polk,283978
727,camden,283487
728,guilford,283391
729,sweetwater,283334
730,newport news city,283287
731,gem,283252
732,okanogan,283248
733,riley,283095
734,piute,282922
735,campbell,282704
736,sauk,282443
737,smith,282324
738,clinton,282140
739,lebanon,281968
740,androscoggin,281841
741,benzie,281488
742,butler,281277
743,greene,281197
744,caroline,280815
745,becker,280679
746,dickson,280600
747,pike,280552
748,story,280536
749,rowan,280475
750,fallon,279878
751,sevier,279862
752,musselshell,279594
753,kenton,279592
754,pacific,279092
755,hubbard,279025
756,monroe,278907
757,benewah,278715
758,licking,277878
759,walker,277810
760,york,277765
761,brookings,277675
762,la crosse,276770
763,marion,276687
764,sierra,276509
765,portsmouth city,276180
766,jefferson,275987
767,essex,275409
768,king and queen,275343
769,white,275194
770,catawba,275078
771,gulf,275068
772,siskiyou,274359
773,platte,274338
774,monroe,274069
775,glasscock,274032
776,garfield,273880
777,union,273659
778,spartanburg,273506
779,newton,273476
780,churchill,273390
781,williams,273334
782,oneida,273050
783,madison,272978
784,westmoreland,272953
785,amelia,272842
786,franklin,272208
787,columbia,272194
788,orange,271738
789,isanti,271720
790,teton,271642
791,duchesne,271099
792,stark,271063
793,lafayette,270905
794,anderson,270889
795,rockbridge,270756
796,moffat,270699
797,fremont,270687
798,morton,270188
799,bingham,269935
800,craven,269926
801,wagoner,269696
802,ward,269587
803,harnett,269076
804,columbia,268962
805,gila,268554
806,scott,268426
807,austin,267768
808,brown,267682
809,mclennan,267571
810,lagrange,267438
811,haywood,267409
812,cass,267320
813,cass,267262
814,georgetown,266421
815,otter tail,266047
816,rensselaer,265694
817,hunt,265329
818,ferry,265326
819,richland,264416
820,salem city,264223
821,hampton city,264210
822,custer,264116
823,ascension parish,264111
824,east baton rouge parish,264111
825,rabun,263987
826,warren,263945
827,kalamazoo,263726
828,shelby,263583
829,pickens,263284
830,liberty,263269
831,dickinson,263260
832,jefferson parish,262515
833,anderson,262306
834,faulkner,261939
835,kennebec,261648
836,jackson,261015
837,canadian,260943
838,blue earth,260760
839,cassia,260446
840,philadelphia,260256
841,sheboygan,260089
842,tuscaloosa,259875
843,real,259730
844,humboldt,259702
845,stone,259539
846,st. charles parish,259536
847,huerfano,259291
848,dunn,259253
849,perquimans,258738
850,macomb,258660
851,randall,258555
852,surry,258350
853,calumet,258319
854,grand forks,258293
855,hamilton,258065
856,iowa,257988
857,dodge,257920
858,hughes,257782
859,bedford,257648
860,lee,257235
861,cannon,257136
862,jefferson,257093
863,nicollet,256722
864,grundy,256309
865,dekalb,256068
866,daggett,255659
867,tippecanoe,255605
868,lee,255547
869,meagher,255454
870,livingston parish,255410
871,rogers,254552
872,tulsa,254552
873,onslow,254472
874,erie,254349
875,greene,254342
876,milwaukee,254221
877,pasquotank,254206
878,payne,254151
879,waldo,254046
880,denali borough,253909
881,doña ana,253901
882,saline,253357
883,millard,253294
884,west feliciana parish,253175
885,plaquemines parish,252863
886,richmond,252792
887,floyd,252668
888,oconee,252666
889,fond du lac,252654
890,miami,252644
891,polk,252637
892,hemphill,252579
893,camden,252504
894,lassen,252491
895,greene,252465
896,dinwiddie,252442
897,lauderdale,252342
898,baker,252291
899,morgan,252159
900,clearwater,251665
901,rock,251652
902,granville,251516
903,charlevoix,251395
904,codington,251289
905,elmore,251099
906,penobscot,251090
907,wood,250969
908,marshall,250917
909,columbia,250692
910,macon,250524
911,lexington,250457
912,dauphin,250400
913,wheeler,250301
914,cleveland,250263
915,davie,249617
916,winnebago,249592
917,st. clair,249584
918,madison,249483
919,goshen,249433
920,chippewa,249414
921,dodge,249383
922,pope,249252
923,aitkin,248998
924,cole,248933
925,uinta,248912
926,trousdale,248895
927,colonial heights city,248625
928,yancey,248117
929,northampton,248010
930,jessamine,247857
931,butler,247853
932,benton,247725
933,bartholomew,247657
934,yuma,247481
935,portage,247430
936,clay,247283
937,ontario,247125
938,berrien,247036
939,dubuque,246484
940,bullitt,246466
941,cochise,246445
942,garrett,246399
943,montour,246277
944,grimes,246238
945,jefferson,246231
946,bossier parish,246195
947,sullivan,246158
948,owyhee,246145
949,rankin,246135
950,mcclain,246017
951,portage,246007
952,mills,245819
953,baker,245560
954,floyd,245459
955,lapeer,245376
956,camas,245292
957,carbon,245261
958,brewster,245158
959,hartley,245023
960,marquette,245004
961,elmore,244622
962,coffee,244615
963,lampasas,244611
964,cumberland,244486
965,washington,244301
966,wakulla,244250
967,banks,243925
968,winneshiek,243860
969,jasper,243852
970,barry,243581
971,morrison,243527
972,waynesboro city,243487
973,dolores,243455
974,bayfield,243395
975,marion,243288
976,ste. genevieve,243200
977,treasure,242959
978,oneida,242875
979,lake,242788
980,washington,242601
981,madison,242534
982,avery,242452
983,st. louis,242408
984,rio grande,242381
985,greene,242324
986,davidson,242310
987,sioux,242119
988,buffalo,242006
989,cumberland,241751
990,ashe,241744
991,nye,241614
992,carlton,241505
993,smith,241492
994,minidoka,241468
995,allegheny,241408
996,mclean,241358
997,morgan,241292
998,spalding,241286
999,hardin,241081
1000,mitchell,241036
1001,logan,240871
1002,franklin,240701
1003,green,240662
1004,lincoln,240650
1005,sullivan,240459
1006,monroe,240375
1007,putnam,240328
1008,clayton,240314
1009,whitfield,240168
1010,kandiyohi,239964
1011,pickaway,239956
1012,southeast fairbanks census area,239816
1013,sawyer,239491
1014,wabasha,239370
1015,swain,239336
1016,oklahoma,239327
1017,hill,238699
1018,lavaca,238682
1019,lake,238579
1020,niobrara,238481
1021,erath,238277
1022,union,237841
1023,logan,237684
1024,lynchburg city,237474
1025,saunders,237423
1026,highlands,237277
1027,dorchester,237172
1028,meeker,237165
1029,rutland,237119
1030,billings,236882
1031,pottawattamie,236777
1032,bulloch,236731
1033,st. clair,236644
1034,southampton,236637
1035,pottawatomie,236435
1036,mille lacs,236402
1037,houston,236347
1038,brown,236093
1039,wayne,235855
1040,pamlico,235796
1041,steele,235638
1042,caledonia,235515
1043,salem,235492
1044,victoria,235485
1045,jefferson,235457
1046,dunn,235065
1047,houston,235046
1048,warren,235031
1049,mcleod,234748
1050,alleghany,234380
1051,washington,234007
1052,butts,233932
1053,perry,233808
1054,silver bow,233729
1055,clark,233566
1056,judith basin,233445
1057,eaton,233342
1058,roane,233301
1059,schenectady,233295
1060,pike,233228
1061,hot springs,233135
1062,lake,233094
1063,santa cruz,233066
1064,washakie,233004
1065,cherokee,232822
1066,franklin,232783
1067,cooke,232745
1068,mccracken,232566
1069,staunton city,232501
1070,dearborn,232258
1071,lafayette parish,232231
1072,johnson,232219
1073,washington,232181
1074,allen,232174
1075,calcasieu parish,232147
1076,baltimore city,232105
1077,orleans,232040
1078,aransas,231711
1079,wayne,231481
1080,gooding,231413
1081,hamlin,231396
1082,oliver,231204
1083,lamar,231119
1084,jefferson,231092
1085,franklin city,231080
1086,kosciusko,231028
1087,franklin,230580
1088,madison,230449
1089,yankton,230291
1090,caldwell,230055
1091,lake of the woods,230040
1092,butte,229855
1093,midland,229824
1094,lubbock,229567
1095,stanly,229281
1096,winona,229276
1097,gregg,229185
1098,marathon,229063
1099,lenawee,229025
1100,burke,228785
1101,lorain,228703
1102,charles city,228356
1103,valley,228333
1104,kearney,228210
1105,pulaski,228124
1106,aiken,228067
1107,daniels,228049
1108,west baton rouge parish,227893
1109,mclean,227797
1110,caribou,227731
1111,elkhart,227681
1112,adams,227533
1113,weston,227528
1114,morgan,227501
1115,oconto,227457
1116,cumberland,227335
1117,tangipahoa parish,227324
1118,warrick,227119
1119,dekalb,227000
1120,bear lake,226881
1121,navajo,226870
1122,pitt,226845
1123,floyd,226815
1124,kewaunee,226797
1125,seward,226707
1126,hamilton,226687
1127,monroe,226639
1128,craig,226495
1129,troup,226492
1130,scott,226380
1131,burnett,226214
1132,page,226169
1133,carbon,225992
1134,mccone,225919
1135,banner,225805
1136,wyoming,225626
1137,las animas,225605
1138,pine,225587
1139,hamilton,225425
1140,morrow,225350
1141,muskegon,225320
1142,moody,225179
1143,bath,225006
1144,yuma,224996
1145,lincoln,224995
1146,monroe,224612
1147,beltrami,224569
1148,antrim,224498
1149,lackawanna,224454
1150,lake,224447
1151,cape girardeau,224439
1152,madison,224425
1153,brule,224212
1154,tipton,224150
1155,chouteau,223931
1156,cumberland,223881
1157,anderson,223718
1158,valencia,223693
1159,franklin,223310
1160,long,223164
1161,nash,222822
1162,kanabec,222788
1163,radford city,222706
1164,lewis,222349
1165,washburn,222049
1166,lincoln,221924
1167,trigg,221888
1168,habersham,221788
1169,whitley,221750
1170,van buren,221566
1171,accomack,221516
1172,amherst,221516
1173,linn,221223
1174,butte,221035
1175,power,220270
1176,monroe,220125
1177,lincoln,219968
1178,garfield,219955
1179,stanley,219930
1180,plymouth,219860
1181,thomas,219851
1182,meigs,219839
1183,cullman,219775
1184,bremer,219746
1185,osage,219499
1186,sibley,219479
1187,gosper,219476
1188,snyder,219354
1189,vernon,219316
1190,trempealeau,219056
1191,caldwell,218979
1192,phillips,218819
1193,medina,218621
1194,cayuga,218582
1195,lee,218518
1196,hoke,218423
1197,susquehanna,218362
1198,webster,218279
1199,carbon,218103
1200,hart,218052
1201,appomattox,218000
1202,craighead,217874
1203,onondaga,217874
1204,oxford,217833
1205,creek,217811
1206,sedgwick,217810
1207,itasca,217698
1208,lamar,217559
1209,colorado,217499
1210,dawson,216831
1211,campbell,216783
1212,lee,216626
1213,summit,216496
1214,dubois,216412
1215,north slope borough,216371
1216,davison,216338
1217,madison,216318
1218,van zandt,216284
1219,kit carson,216210
1220,essex,216190
1221,ohio,216178
1222,toole,216121
1223,giles,216115
1224,saguache,216076
1225,rio arriba,215703
1226,lowndes,215599
1227,mills,215475
1228,garland,215372
1229,gordon,215285
1230,alamosa,215271
1231,surry,215261
1232,lee,215260
1233,malheur,215131
1234,highland,215054
1235,mcintosh,215020
1236,harrison,214935
1237,mccook,214931
1238,montcalm,214778
1239,taylor,214720
1240,cass,214710
1241,callaway,214484
1242,laporte,214333
1243,coryell,214298
1244,pulaski,214273
1245,sequatchie,214242
1246,buffalo,214110
1247,muscogee,213998
1248,st. joseph,213914
1249,champaign,213677
1250,wilkes,213420
1251,jasper,213397
1252,fergus,213281
1253,lonoke,213266
1254,fannin,213181
1255,haralson,213119
1256,mcminn,212964
1257,monroe,212938
1258,mason,212914
1259,manitowoc,212808
1260,mercer,212777
1261,garfield,212728
1262,clinton,212698
1263,barron,212678
1264,pondera,212571
1265,fillmore,212482
1266,grant,212477
1267,lake,212477
1268,ionia,212467
1269,maries,212398
1270,ellis,212358
1271,wayne,212306
1272,lincoln,212231
1273,franklin,212166
1274,chowan,212145
1275,franklin,212102
1276,marquette,212027
1277,nueces,211911
1278,fulton,211910
1279,graham,211802
1280,hancock,211772
1281,knox,211772
1282,green lake,211637
1283,hancock,211628
1284,perry,211595
1285,alexander,211566
1286,harrison,211502
1287,big horn,211435
1288,lander,211428
1289,cheyenne,211379
1290,morrow,211353
1291,kingfisher,211174
1292,andrews,211157
1293,rock,211082
1294,westmoreland,211037
1295,taney,210925
1296,wharton,210887
1297,jefferson,210831
1298,putnam,210661
1299,waseca,210573
1300,st. louis city,210505
1301,mercer,210379
1302,nelson,210246
1303,catron,210184
1304,oktibbeha,210132
1305,harrison,210122
1306,person,209835
1307,yakutat city and borough,209637
1308,kershaw,209636
1309,morgan,209452
1310,hanson,209430
1311,sherman,209424
1312,deuel,209292
1313,daviess,209282
1314,howard,209224
1315,yoakum,209133
1316,coffee,208912
1317,lyon,208792
1318,steuben,208720
1319,union,208621
1320,ripley,208591
1321,mobile,208510
1322,emery,208505
1323,autauga,208359
1324,cedar,208295
1325,bourbon,208262
1326,niagara,207999
1327,madison,207958
1328,tom green,207889
1329,prince edward,207817
1330,cuyahoga,207798
1331,pulaski,207791
1332,san patricio,207776
1333,waupaca,207732
1334,wood,207649
1335,gates,207614
1336,rains,207514
1337,walker,207477
1338,black hawk,207468
1339,marshall,207455
1340,platte,207452
1341,stewart,207363
1342,posey,207064
1343,big horn,207057
1344,otsego,207055
1345,hall,206819
1346,phelps,206774
1347,rockingham,206625
1348,lafayette,206610
1349,shackelford,206570
1350,boone,206478
1351,wood,206430
1352,pennington,206247
1353,stokes,206181
1354,garrard,206021
1355,deer lodge,205897
1356,upshur,205744
1357,sumter,205690
1358,lincoln,205625
1359,jefferson,205417
1360,henderson,205355
1361,roanoke city,205321
1362,christian,205288
1363,jackson,205204
1364,hamblen,205129
1365,stark,204952
1366,otsego,204895
1367,waushara,204738
1368,franklin,204701
1369,mineral,204644
1370,stevens,204593
1371,boyle,204569
1372,beaver,204528
1373,powell,204477
1374,peach,204217
1375,randolph,204162
1376,jeff davis,204006
1377,grant,203957
1378,lyon,203957
1379,meade,203548
1380,clark,203505
1381,ouachita parish,203434
1382,carroll,203422
1383,marion,203320
1384,sullivan,203225
1385,hampshire,203175
1386,washington,203047
1387,webb,202894
1388,cooper,202890
1389,bledsoe,202796
1390,harrison,202588
1391,lycoming,202530
1392,woodford,202494
1393,nottoway,202389
1394,mcpherson,202386
1395,simpson,202323
1396,beaufort,202232
1397,laurens,202214
1398,white pine,202140
1399,jackson,201875
1400,oglethorpe,201777
1401,chase,201756
1402,sebastian,201670
1403,putnam,201544
1404,rhea,201507
1405,cleveland,201241
1406,columbia,200868
1407,douglas,200867
1408,shoshone,200822
1409,woodbury,200603
1410,yadkin,200408
1411,pepin,200313
1412,wilson,200249
1413,eddy,200227
1414,polk,200172
1415,erie,200140
1416,daviess,200002
1417,humphreys,199931
1418,juniata,199751
1419,unicoi,199693
1420,scott,199678
1421,finney,199432
1422,custer,199407
1423,tuscarawas,199345
1424,bristol city,199307
1425,st. james parish,199280
1426,todd,199249
1427,kankakee,199170
1428,lincoln,199097
1429,benton,199053
1430,rapides parish,198966
1431,jasper,198842
1432,mountrail,198840
1433,ingham,198778
1434,martin,198744
1435,putnam,198717
1436,armstrong,198691
1437,white,198679
1438,rosebud,198655
1439,ottawa,198622
1440,terrebonne parish,198612
1441,polk,198349
1442,tate,197748
1443,franklin,197672
1444,lincoln,197579
1445,lyon,197569
1446,bibb,197485
1447,taylor,197189
1448,clinton,197056
1449,st. francois,196998
1450,montgomery,196864
1451,moniteau,196797
1452,houston,196681
1453,white,196637
1454,carter,196596
1455,wilkin,196450
1456,overton,196351
1457,lincoln,196273
1458,arthur,196187
1459,delaware,196125
1460,washington,196049
1461,ray,195988
1462,pickett,195921
1463,lafayette,195627
1464,calloway,195588
1465,goliad,195459
1466,adams,195237
